objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners
537830,Ken'Anim - Comité d'Animation Kénanais,"Comité d'animation Kénanais avec sa section Quai Commun en charge d'animer la Maison Kénanaise, tiers-lieu d’activités et de transitions avec un café/salon de thé, un micro-atelier, un espace de coworking, une salle événementielle.",/associations/ken-anim-comite-d-animation-kenanais,https://cdn.helloasso.com/img/logos/croppedimage-8d277b45a03c41288bc2c512a1ab15fa.png,https://cdn.helloasso.com/img/photos/croppedimage-7abe47230a3845ddaa998c60b15b2b18.png,Saint-Quay-Perros,22700,Côtes-d'Armor,Bretagne,"Place Valérie Masson-Delmotte, 7 rue de l'église ",48.792067,-3.446931,Association1901,Coworking | Humanitaire | Solidarité,Comites-des-fetes,6,"Event, Donation, Membership",1727820000,1775070912,110,Infolocale
387081,Cercle des Nageurs de Saint Brieuc,"Le Cercle des Nageurs de St-Brieuc regroupe plusieurs sections (Natation course, Natation artistique, bébés nageurs, Loisirs, Masters, ... RDV sur notre site https://www.cnsb.fr/ ",/associations/cercle-des-nageurs-de-saint-brieuc,https://cdn.helloasso.com/img/logos/croppedimage-a47220f91bd84b8cb601d46e55afc827.png,https://cdn.helloasso.com/img/photos/croppedimage-79b77fe926054c36bb32a7405c7df2c7.png,Saint-Brieuc,22000,Côtes-d'Armor,Bretagne,4 Rue Curie,48.50707,-2.754087,Association1901Rig,Arts | Natation | Sport,Don,20,"Shop, Event, Donation, Membership",1679353200,1773071231,110,
244114,CAC SUD 22,"Le Comité d'action culturelle est un incubateur d'initiatives culturelles en Centre Bretagne, qui anime le territoire en lien avec un large réseau de partenaires.",/associations/cac-sud-22,https://cdn.helloasso.com/img/logos/croppedimage-bd1084a0ae0142b9965509298f6d83ff.png,https://cdn.helloasso.com/img/photos/croppedimage-7f5fc01b7f84485e8a0705f5ad39c2f5.png,Saint-Caradec,22600,Côtes-d'Armor,Bretagne,28 Rue Nationale,48.191878,-2.853403,Association1901Rig,Arts | Culture | Arts et Culture,Giving-tuesday | Don,8,"Event, Membership",1612306800,1774166840,110,Infolocale
58771,EAU & RIVIERES DE BRETAGNE,"Nous agissons et protégeons l'eau, des sources à la mer",/associations/eau-rivieres-de-bretagne,https://cdn.helloasso.com/img/logos/eau rivieres de bretagne-9298b3e2b5e04545a86f190885ece448.png,https://cdn.helloasso.com/img/photos/146521-e89178ff531d409887148b21ba827032.JPG,Belle-Isle-en-Terre,22810,Côtes-d'Armor,Bretagne,"2, rue Crec'h Ugen",48.542769,-3.395682,Association1901Rup,Ecologie et Environnement | Environnement,,6,"Donation, Shop, Event, Membership, CrowdFunding",1487199600,1775045015,110,OHME
506927,Association Familles Rurales de Binic-Etables-sur-mer,"A l'instar du Mouvement Familles Rurales, notre association est à l'écoute des besoins exprimés par les familles, en suivant les évolutions sociales du territoire.  + de 125 adhérents, 10 bénévoles  pour des activités de stretching, pilates, fitness , atelier numérique et  culinaire et jeux de mots ",/associations/association-familles-rurales-de-binic-etables-sur-mer,https://cdn.helloasso.com/img/logos/croppedimage-cba98592fbf145189c36b92f8b427449.png,https://cdn.helloasso.com/img/photos/croppedimage-fc4146fbc0dc44eb885fbdb510401eff.png,Binic-Étables-sur-Mer,22680,Côtes-d'Armor,Bretagne,Place Jean Heurtel,48.626727,-2.834234,Association1901Rup,Fitness | Informatique | Jeux | Pilates | Sport,Octobre-rose,4,Event,1716156000,1775054011,110,
629277,AMICALE LAIQUE DE LANGUENAN,L'Amicale laïque de Languenan est une association de parents d'élèves qui organise des manifestations dans le but de collecter des fonds au profit des enfants de l'école publique des Hirondelles de Languenan. ,/associations/amicale-laique-de-languenan,https://cdn.helloasso.com/img/logos/croppedimage-a7f7cd39043f4ffebd25f87951538a4f.png,https://cdn.helloasso.com/img/photos/croppedimage-bb657d384754424eab3b2ffdb95ce4de.png,Languenan,22130,Côtes-d'Armor,Bretagne,Rue de l’Arguenon,48.511081,-2.130865,Association1901,Education | Enfance | Parents d'élèves,,1,Event,1763247600,1770968928,110,
467191,Ecole de Musique des 3 Rivières,"L’école de musique des trois rivières est une association qui a pour but de favoriser et de promouvoir les actions musicales et artistiques, notamment sous forme d’enseignement et d’animation.",/associations/ecole-de-musique-des-3-rivieres,https://cdn.helloasso.com/img/logos/croppedimage-837fc32dee99487ab41db6534cae8f70.png,https://cdn.helloasso.com/img/photos/croppedimage-cd69e6f3d57845f7a28018379ac375a2.png,Bégard,22140,Côtes-d'Armor,Bretagne,"18, rue Saint-Yves",48.628945,-3.30442,Association1901,Arts | Culture | Enseignement | Musique,,3,"Event, Membership",1705618800,1773829758,110,
349309,GAB D'ARMOR,"Au cœur du développement de l’agriculture bio dans les Côtes d’Armor, le GAB fédère les agriculteurs bio des Côtes d’Armor et les accompagne dans une démarche d'autonomie. Notre organisation promeut l’agriculture bio auprès des agriculteurs pour assurer son développement durable et équitable. ",/associations/gab-d-armor,https://cdn.helloasso.com/img/logos/croppedimage-e6c916f1cf104477933d91e7e22a070d.png,https://cdn.helloasso.com/img/photos/croppedimage-67b2bfbb59f7482da212f9df1c4e4de5.jpg,Plérin,22190,Côtes-d'Armor,Bretagne,2 Avenue du Chalutier Sans Pitié,48.529809,-2.763403,Association1901,Ecologie et Environnement | Développement durable | Environnement,,6,"Shop, Event, Donation, Membership",1665352800,1775039372,110,
75619,La Ligue contre le cancer Comité des Côtes d'Armor,Se donner les moyens de vaincre les cancers !,/associations/la-ligue-contre-le-cancer-comite-des-cotes-d-armor,https://cdn.helloasso.com/img/logos/croppedimage-6c0504458d8c429f893d7bbe24e8e5d8.png,https://cdn.helloasso.com/img/photos/logo-comite-ligue-cotes-d-armor-coul-7b2375030a4644d7b05461bc5428721a.png,Trégueux,22950,Côtes-d'Armor,Bretagne,1 Rue Alain Colas,48.491831,-2.721,Association1901Rup,Cancer | Humanitaire | Solidarité | Solidarité et Action Sociale,,1,Event,1517439600,1774959200,110,LaLigueNationaleContreLeCancer
402491,Association des sourds de Saint-Brieuc et des Côtes d'Armor,Bienvenue dans le site Helloasso de notre association où vous trouverez l'adhésion et des divers événements à réserver.  Au plaisir de vous recevoir prochainement!,/associations/association-des-sourds-de-saint-brieuc-et-des-cotes-d-armor,https://cdn.helloasso.com/img/logos/croppedimage-8ab130a0ef1646b98e97e26acf40ed66.png,https://cdn.helloasso.com/img/photos/croppedimage-e38f91dcac61496ebffea4c20d257ed1.png,Saint-Brieuc,22000,Côtes-d'Armor,Bretagne,9 bis Place de la Cité,48.514135,-2.740417,Association1901,Loisirs,,3,"Event, Membership",1684274400,1775058972,110,
