objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
307379,PCPDG,"Parmi les premiers clubs de Disc Golf français, le Paris Couronne Passion Disc Golf développe cette discipline de Flying Disc depuis plus de 20 ans sur le premier parcours fixe de France, sur l'île de loisirs de Jablines-Annet (77).",/associations/pcpdg,https://cdn.helloasso.com/img/logos/croppedimage-d9ac4d9c062f4929a17a679c08816e00.png,https://cdn.helloasso.com/img/photos/croppedimage-05203aa4921e42ccb189233f08cffbc2.png,Annet-sur-Marne,77410,Seine-et-Marne,Île-de-France,61 Rue aux Reliques,48.926839,2.721327,Association1901,Sport | Golf,,2,"Event, Donation",1645570800,1774951164,110,,asso.pcpdg@gmail.com,0661450872
564435,ACAF GENERALE,ensemble des associations culturelles et artistiques de Fontenay-Trésigny  organisation du Telethon et du Color Run de la ville,/associations/acaf-generale,https://cdn.helloasso.com/img/logos/croppedimage-66a7ad5d61f444cc93d77911540e597a.png,https://cdn.helloasso.com/img/photos/croppedimage-6c874536a44c481382b3e8a028e7a20d.png,Fontenay-Trésigny,77610,Seine-et-Marne,Île-de-France,26 Avenue du General de Gaulle,48.706748,2.866446,Association1901,Arts | Culture | Sport | Arts et Culture,Téléthon,1,Event,1737414000,1774940059,110,,acaf.generale@orange.fr,0778678116
485280,CENTRE DES JEUNES DIRIGEANTS D'ENTREPRISE SEINE ET MARNE NORD,"Le Centre des Jeunes Dirigeants d'entreprises est l'école des entrepreneurs. Fondé en 1947, ses membres partagent les mêmes valeurs et notamment le souhait de développer une économie au service du vivant. La section Seine et Marne nord regroupe près de 25 chefs d'entreprise de toutes activités.",/associations/centre-des-jeunes-dirigeants-d-entreprise-seine-et-marne-nord,https://cdn.helloasso.com/img/logos/croppedimage-f48124164dca453ea1161853deae35fd.png,https://cdn.helloasso.com/img/photos/croppedimage-ae041d07c2f04e2298b9ff9eef84f833.png,Serris,77700,Seine-et-Marne,Île-de-France,1 Avenue Johannes Gutenberg,48.837035,2.795776,Association1901,Économie | Étudiants | Réseaux pros et étudiants,,1,Event,1710284400,1774691316,110,,fabien.fermeaux@cjd.net,0610205135
463226,VSOP - Entente Roissy Ozoir Handball,"L'entente Roissy Ozoir, c'est un club de handball situé en Seine et Marne qui compte 350 licenciés. Nous accueillons tout le monde de 3 à 99 ans.  ",/associations/vsop-entente-roissy-ozoir-handball,https://cdn.helloasso.com/img/logos/croppedimage-5c6e234b31564f45a366c3c49ba84086.png,https://cdn.helloasso.com/img/photos/croppedimage-d46edce0540942c48b5633ca49e57bf9.png,Ozoir-la-Ferrière,77330,Seine-et-Marne,Île-de-France,Route de Roissy,48.769402,2.66807,Association1901,Sport | Handball,,4,"Shop, Donation",1704582000,1774893172,110,,heinrich_730@hotmail.com,0647846261
596886,FÉRÉORÉTRO CLUB,"Notre mission : partager la passion des véhicules anciens ! À travers des événements variés, notre association crée du lien entre passionnés pour échanger conseils, anecdotes et bonnes adresses, et faire vivre ensemble cette belle passion.",/associations/fereoretro-club,https://cdn.helloasso.com/img/logos/croppedimage-79ddeec110524e46b442f21cfd17435d.png,https://cdn.helloasso.com/img/photos/croppedimage-2d10ddd392ee4f1aa2c69dbae0142284.png,Saint-Fargeau-Ponthierry,77310,Seine-et-Marne,Île-de-France,606 rue Alfred Darroux,48.53847,2.525936,Association1901,Patrimoine,,4,"Shop, Event, Membership",1750024800,1774602306,110,,fereoretroclub@gmail.com,
425370,MOTARD SEINE ET LOING,"Rejoins notre association moto ! Balades, road trips et événements pour partager la passion de la route entre passionnés. Bonne humeur, découvertes et liberté au rendez-vous. Que tu sois débutant ou confirmé, viens rouler avec nous !     ",/associations/motard-seine-et-loing,https://cdn.helloasso.com/img/logos/croppedimage-4a8d838c54f34cc3a2371f06d2520e23.png,https://cdn.helloasso.com/img/photos/croppedimage-6da7cc6ab7e74da0a985b628e96eda0b.png,Fontainebleau,77300,Seine-et-Marne,Île-de-France,1 Rue Saint-honoré,48.400529,2.689574,Association1901,Moto | Sport,,5,"Shop, Event, Donation",1692828000,1774895883,110,,motardseineetloing@gmail.com,0662818211
514929,L'Art Du Mouvement 77,"Bienvenue dans notre famille d'Amoureux Du Mouvement du 77 !  Venez apprendre à danser à deux (West Coast Swing), ou en Solo (Solo Styling, K-Pop Ados), à maîtriser l'art du déplacement (Parkour Kids), et bien d'autres encore (Arts-martiaux, Yoga)... SITE WEB : artdumouvement77.wixsite.com/adm77 ",/associations/l-art-du-mouvement-77,https://cdn.helloasso.com/img/logos/croppedimage-b1f9f49df5dc4548bde799088e1a5e67.png,https://cdn.helloasso.com/img/photos/croppedimage-c03d33877d424dc4b90a8e106d3bc3ca.png,Bois-le-Roi,77590,Seine-et-Marne,Île-de-France,1 Impasse des Cerfs,48.473247,2.688014,Association1901,Arts | Informatique | Swing | Bien-être,Octobre-rose,5,"Event, Membership",1718748000,1774907502,110,,lartdumouvement77@gmail.com,0698948053
156413,Au tour des Arts,"Créée en 2004, l'école de danse ""Au tour des Arts"" est une association loi 1901 qui propose depuis septembre 2006 des cours de danse classique, modern'jazz et d'éveil à la danse destinés aux enfants et aux adultes.",/associations/au-tour-des-arts,https://cdn.helloasso.com/img/logos/croppedimage-8263af92771d41c2bcb95032b675a06a.png,https://cdn.helloasso.com/img/photos/croppedimage-1f470b824fe84c5f8335e7c5d9457da7.png,Montry,77450,Seine-et-Marne,Île-de-France,12 Rue de Touraine,48.881691,2.831147,Association1901,Arts et Culture | Arts | Culture | Danse | Enfance | Jazz,,3,Event,1562018400,1774898610,110,,autourdesarts@neuf.fr,0628137980
600365,LES CRAPULETTES A ROULETTES DU 77,"Christel et Sabrina, mère et fille, un duo complice et déterminé, formant l’équipage Les Crapulettes à Roulettes du 77. À nos côtés, Monique, notre fidèle Super 5 Notre mission ? Apporter du matériel scolaire, des produits d’hygiène et des denrées alimentaires aux familles marocaines, ",/associations/les-crapulettes-a-roulettes-du-77,https://cdn.helloasso.com/img/logos/croppedimage-7c320f4819244a01a14fdece2b1c2afa.png,https://cdn.helloasso.com/img/photos/croppedimage-785800ff72874d43a2e8511b3938155e.png,Coutevroult,77580,Seine-et-Marne,Île-de-France,6 chemin des Plantes,48.864004,2.860445,AssociationProprietaire,Caritatif | Humanitaire | Solidarité et Action Sociale,,1,CrowdFunding,1751493600,1774874496,110,Infolocale,morignotchristel@gmail.com,
382642,Le 5 ème Art,"Cours de danse à Vaux le penil des 3 ans. Classique-jazz-contemporain; safe-floor; Pilates, yoga, house dance",/associations/le-5-eme-art,https://cdn.helloasso.com/img/logos/croppedimage-0b66d13031db433288da513f736e8c96.png,https://cdn.helloasso.com/img/photos/croppedimage-305b3d3a614844c59b2bb93c195a4066.png,Vaux-le-Pénil,77000,Seine-et-Marne,Île-de-France,1 Rue du 11 Novembre 1918,48.530426,2.68193,Association1901,Arts | Culture | Danse | Jazz | Pilates | Bien-être,,8,"Shop, Event",1678057200,1774816603,110,,5emeart77@gmail.com,0672739090
